TIMESTAMP,CONTRACT,OPEN,HIGH,LOW,CLOSE,TURNOVER
2019-09-17,OCT19,940.2,946.8,930.8,944.2,21029
2019-09-18,OCT19,942.5,945.0,922.1,934.6,23124
2019-09-19,OCT19,933.8,943.9,923.7,942.4,19010
2019-09-20,OCT19,939.1,950.2,937.4,942.6,33318
2019-09-24,OCT19,958.7,964.0,948.3,955.4,30885
2019-09-25,OCT19,955.5,959.0,923.6,927.9,26650
2019-09-27,JAN20,937.0,942.8,926.1,936.1,20869
2019-09-30,JAN20,936.5,940.8,880.2,889.2,39741
2019-10-01,JAN20,888.7,893.8,879.3,886.1,28655
2019-10-02,JAN20,883.0,897.9,875.6,894.4,21561
2019-10-03,JAN20,893.0,904.0,890.7,894.4,19195
2019-10-04,JAN20,895.5,895.5,876.8,886.9,15273
2019-10-08,JAN20,882.4,897.7,881.5,890.1,17229
2019-10-09,JAN20,894.8,901.7,887.6,896.7,15223
2019-10-10,JAN20,899.6,908.7,887.6,907.9,17993
2019-10-11,JAN20,904.0,911.4,888.9,900.3,18866
2019-10-14,JAN20,900.1,906.1,894.5,899.4,11467
2019-10-15,JAN20,898.0,906.9,887.0,889.2,14875
2019-10-16,JAN20,889.6,895.0,880.1,890.7,16922
2019-10-17,JAN20,891.0,894.2,884.5,893.0,12644
2019-10-18,JAN20,892.1,898.3,886.8,895.9,12096
2019-10-21,JAN20,896.3,902.9,888.7,892.2,12992
2019-10-22,JAN20,892.2,896.4,887.8,896.0,8924
2019-10-23,JAN20,895.0,924.0,894.0,922.4,26295
2019-10-24,JAN20,921.0,936.8,921.0,925.1,20017
2019-10-25,JAN20,928.9,943.9,926.2,933.3,21071
2019-10-28,JAN20,929.6,938.5,917.3,919.0,19723
2019-10-29,JAN20,923.2,926.7,912.7,925.1,15548
2019-10-30,JAN20,924.2,931.9,918.3,930.6,20397
2019-11-01,JAN20,937.3,959.5,933.2,954.0,23197
2019-11-04,JAN20,955.6,959.9,936.2,938.7,20429
2019-11-05,JAN20,941.6,943.5,928.5,930.6,19543
2019-11-06,JAN20,932.9,936.9,925.9,931.7,14309
2019-11-07,JAN20,933.0,938.1,907.1,914.0,22765
2019-11-08,JAN20,913.8,914.3,889.6,893.1,21043
2019-11-12,JAN20,877.7,883.0,867.8,869.9,24855
2019-11-13,JAN20,870.5,879.7,869.6,874.8,17313
2019-11-15,JAN20,883.6,898.7,877.1,894.5,17230
2019-11-19,JAN20,896.7,914.3,895.8,912.3,19167
2019-11-20,JAN20,913.1,922.0,908.7,920.0,17999
2019-11-22,JAN20,918.4,919.3,888.3,892.6,24995
2019-11-25,JAN20,893.9,903.1,891.5,900.4,13642
2019-11-26,JAN20,900.4,919.0,896.4,911.7,17550
2019-11-27,JAN20,911.8,911.8,891.3,895.4,18074
2019-11-29,JAN20,897.7,904.2,891.0,900.4,15719
2019-12-02,JAN20,897.9,906.3,892.8,899.7,17062
2019-12-03,JAN20,900.6,914.0,897.5,911.6,16493
2019-12-04,JAN20,912.0,918.4,896.7,901.8,19354
2019-12-05,JAN20,898.0,903.9,886.4,900.6,19932
2019-12-06,JAN20,900.2,903.6,892.6,898.9,13533
2019-12-09,JAN20,898.7,902.8,889.9,898.5,27265
2019-12-11,JAN20,923.8,947.5,915.8,939.5,28123
2019-12-12,JAN20,941.6,951.4,937.3,944.8,26961
